0.6m,0.6m,0.3m,0.3m,0.9m,0.9m,1.4m,1.4m,1.8m,1.8m,2.1m,2.1m
31.57181453,0.005012502,33.39474566,0.014599335,27.73685153,0.003550171,16.14875821,0.001775409,34.59490502,0.002581663,35.21011276,0.00384321
31.93420031,0.00453334,33.39474566,0.013676074,28.59227451,0.002934255,16.7841367,0.002809309,35.65891185,0.002590733,36.20856466,0.003915697
32.41142181,0.005632506,33.39474566,0.012752812,29.57680173,0.003175246,17.18212102,0.001956676,36.43548555,0.002233224,37.20701657,0.003778353
32.92577582,0.004830273,33.39474566,0.017173277,29.6732431,0.004303097,17.92781797,0.002905887,36.66240644,0.002854164,38.20546847,0.003923327
33.3039773,0.005673274,33.41289933,0.015863924,30.35051468,0.003181902,18.11843152,0.001831146,37.65387616,0.002772332,39.20392038,0.003930958
33.39474566,0.006406554,33.41743775,0.011665182,31.02871721,0.004189584,19.14411393,0.001794484,38.6472078,0.002581946,40.20237228,0.003908067
33.47038595,0.00768653,33.48551401,0.021313966,31.55101345,0.003198734,19.23488228,0.002961914,39.69017942,0.002479161,41.20082419,0.004121714
33.54098356,0.009390834,33.48551401,0.020390704,31.98434507,0.004508651,20.10726703,0.001736,40.66053636,0.002526488,42.19927609,0.004198017
33.55034855,0.010986225,33.48551401,0.017704852,32.42871102,0.003103179,20.4148709,0.002938479,41.71750559,0.002776336,43.17678145,0.004137855
33.70595145,0.012113323,33.50366768,0.022511408,32.95387079,0.004635432,21.17883788,0.001592304,42.63950261,0.002923133,44.1961799,0.004022521
33.79412642,0.014714044,33.59443604,0.024131313,33.11545841,0.003602099,21.44736094,0.003229927,43.58873014,0.002942158,45.25136203,0.004056142
33.79412642,0.013790782,33.68974281,0.019527594,33.82764089,0.003114059,22.16972576,0.001754652,44.64497899,0.002777739,46.19308371,0.00400726
33.82383243,0.01287744,33.68974281,0.018600136,33.95750946,0.004335743,22.42085154,0.003002359,45.78113502,0.002644567,47.19153562,0.003969109
33.83562053,0.016627713,34.07550832,0.025073459,34.64734896,0.003761303,22.79754022,0.001283734,46.07962327,0.002999112,48.18998752,0.003904252
33.84210398,0.017925675,34.11264083,0.027187996,35.57318618,0.00381664,23.2286899,0.00186186,46.68430069,0.002621003,49.18843942,0.003976739
33.86155434,0.015650495,34.1208925,0.028646902,35.57318618,0.002970816,23.39207294,0.002999702,47.70821702,0.002920828,50.18689133,0.004056857
34.10273883,0.01907016,34.1208925,0.029746423,36.57163808,0.003643892,23.77330003,0.000995215,48.59577546,0.002707363,51.18534323,0.003965294
34.28730115,0.01984514,34.15114862,0.025839347,37.48630381,0.003009652,24.19921308,0.001919744,49.68312696,0.00268856,52.22010248,0.004079748
34.5293501,0.017374716,34.57473427,0.023636109,37.57008999,0.004596789,24.4313706,0.003260037,50.6407331,0.002682529,53.18224704,0.004018706
34.5293501,0.016096138,34.64281054,0.022565965,37.6406876,0.003526265,25.14437992,0.001961799,51.58875815,0.00254331,54.18069895,0.003847025
34.5293501,0.015172877,34.84703934,0.019166683,38.56854189,0.002899051,25.38618388,0.003471683,52.63763691,0.002810072,55.17915085,0.003957664
34.57473427,0.014235626,34.93780769,0.021730832,38.60888338,0.00431097,25.89122831,0.001240019,53.71389027,0.002697853,56.17760276,0.004091193
34.57473427,0.013312365,35.40980314,0.020379513,38.87110308,0.003385903,26.11233072,0.001973647,54.64887257,0.00267008,57.17605466,0.004121714
34.58770118,0.012263204,35.62764719,0.019653494,39.5669938,0.00437325,26.37835182,0.003721701,55.63299263,0.002641566,58.17450657,0.004049227
34.66550263,0.011415482,36.40660471,0.018802338,39.619942,0.002894196,27.13172917,0.001646239,56.6818714,0.002912466,59.17295847,0.004014891
34.66550263,0.01049222,37.02547986,0.020385617,39.80299152,0.00341853,27.40403423,0.003692264,57.67795027,0.002922174,60.17141038,0.004159866
34.66550263,0.009568958,37.2588842,0.021100137,40.62828533,0.004608284,27.94864436,0.003147993,58.64268019,0.002834878,61.15284322,0.004368267
34.75627098,0.008313695,37.79701088,0.021551776,40.67436773,0.002736822,28.13018107,0.0017983,59.64408946,0.002774791,62.16831419,0.004636757
35.1193444,0.007263951,38.31136489,0.020264805,40.7888755,0.00341634,28.90520318,0.003211178,60.62020947,0.002625494,63.16676609,0.004777917
35.63802072,0.006166079,38.64534589,0.019474975,41.51851343,0.005222074,29.08627441,0.001971301,61.60101197,0.002456786,64.165218,0.004896186
36.24347557,0.005325828,39.74853051,0.020088037,41.54876955,0.004282119,29.8868157,0.003193823,62.66105668,0.002661063,65.21254517,0.005040134
37.12921512,0.004736223,40.5654457,0.018893901,41.74543432,0.003074436,30.14653524,0.001938068,63.62060787,0.002640299,66.16212181,0.00515943
37.92559938,0.00417767,40.70159823,0.019814165,42.48065799,0.003059963,30.87484323,0.003230858,64.65990553,0.002597633,66.41792353,0.006059165
38.73711169,0.00340229,41.26890045,0.020457151,42.52743861,0.004416248,31.12553678,0.001809745,65.61751168,0.002649509,67.32193967,0.007026725
38.84084696,0.004564269,42.0479955,0.019624817,43.11830569,0.003654838,31.77388218,0.003272772,66.67469605,0.002618246,67.47413712,0.005483716
39.83929886,0.004522303,42.81952652,0.018467242,43.4791099,0.002809843,32.13582804,0.002216255,67.63577275,0.002805298,67.964522,0.006819557
39.83929886,0.003461697,43.27453199,0.017835056,43.56080142,0.004572472,32.97721123,0.003159484,68.15902561,0.00240109,68.44645874,0.005758405
40.61082988,0.003492218,43.74233813,0.016040183,44.06351846,0.00359986,33.06697104,0.001814248,68.6344789,0.003222134,68.71119977,0.005051271
40.85869731,0.004473587,43.74233813,0.015019,44.74079003,0.004659648,33.93935579,0.003067572,69.59530135,0.003329838,68.72632783,0.004425971
41.83620267,0.004802715,43.74233813,0.014095738,44.83155839,0.003005407,34.15871265,0.001862055,70.58960045,0.003117628,69.73839499,0.004994616
43.35657262,0.003759754,43.74233813,0.01725721,44.83155839,0.003733525,34.93780769,0.002815285,71.67478656,0.003360599,70.6854115,0.004842138
43.41708485,0.004765588,43.80285036,0.012836745,45.77706208,0.004666404,35.0921139,0.001841818,72.41946528,0.004129452,71.69899146,0.004610051
43.92387484,0.004149692,43.83310648,0.011409886,46.03947573,0.003339686,35.9362596,0.003043804,72.8335959,0.009031788,72.67150955,0.005122914
44.37771661,0.004712042,43.87849066,0.010332747,46.73769384,0.004416624,36.11779631,0.001936734,72.87898007,0.005829748,73.16943881,0.005363921
45.45396996,0.004853196,44.07137341,0.009278341,46.97369156,0.003237908,36.92772932,0.003083667,72.94381461,0.007101332,73.87743198,0.004590975
46.36763824,0.004656876,44.17967656,0.007986442,47.75883783,0.004361523,37.16667508,0.002142297,72.99767715,0.008079472,74.91219123,0.004658085
47.45816766,0.004641049,44.21887199,0.006802321,48.11318353,0.003255791,37.95985998,0.002914082,73.9201465,0.007898694,75.86735361,0.004528466
48.2864289,0.00452892,44.31417876,0.005888501,48.7724178,0.004279671,38.84084696,0.002384558,74.73065452,0.00737831,76.93519094,0.004829898
48.91613436,0.003744016,44.58950944,0.005268797,49.18843942,0.003522527,38.93161531,0.003223923,76.18008183,0.007803717,77.8712396,0.004549009
49.32459196,0.004673899,45.38221974,0.005548573,49.73304955,0.004480682,39.90586232,0.002862783,76.47340693,0.00681596,78.87617496,0.004681933
50.23227551,0.00362651,46.46538878,0.005685918,50.18689133,0.003590866,40.51357807,0.003296089,77.35083436,0.007120916,79.90785456,0.004631359
50.57265684,0.004642798,47.46384068,0.005724069,50.78985254,0.00445824,40.91036545,0.002552636,78.13656248,0.00751454,80.82877516,0.004394496
51.36687994,0.004529388,48.23032901,0.005870316,51.27043857,0.003764475,41.63449522,0.003017397,78.18892884,0.010175373,81.09855889,0.003711376
52.0204121,0.003567757,48.91613436,0.006297974,51.91149007,0.004886012,41.8880703,0.002160699,78.23431302,0.00880397,81.94626101,0.003898503
52.54686856,0.004743581,49.73304955,0.005567649,52.15786132,0.003941858,42.58958002,0.002987688,78.54443823,0.00628998,82.98830561,0.003834069
53.20818086,0.003624112,50.7678088,0.005575618,52.96867444,0.004710161,42.91245602,0.002049971,78.90599884,0.007101332,83.91489923,0.004180445
53.61663846,0.004608825,51.72995336,0.005617246,53.30932274,0.004247614,43.56080142,0.001805167,79.36891745,0.006625712,84.95117129,0.004529933
54.54377237,0.004518488,52.69814915,0.005646495,53.88894352,0.004826151,43.91319621,0.002525297,80.33333123,0.006839041,85.96907355,0.004451451
55.5087833,0.004814161,53.76316452,0.005871715,54.48326013,0.004242951,44.79373824,0.002445621,81.31438586,0.006533486,86.96968661,0.004621315
56.49024931,0.004937595,54.69127095,0.00545275,54.99761414,0.005507179,44.83155839,0.001765598,82.20542855,0.006725732,87.946527,0.004598606
57.09436314,0.004524592,55.04299832,0.005317758,55.45145592,0.004602421,45.86026641,0.003079548,82.81811494,0.007430768,88.9449789,0.004331546
57.62422342,0.0051664,56.17760276,0.005430304,56.10498807,0.005044616,46.00549578,0.002045264,83.07529195,0.006954449,89.96936463,0.004358525
58.52461308,0.005177237,57.17605466,0.005693548,57.05735758,0.004964364,46.91923055,0.001913464,84.00857683,0.007543593,90.86408127,0.004478429
58.79173138,0.0045148,58.17450657,0.005258623,57.97695191,0.00501634,46.96965741,0.003025924,85.04193964,0.007490475,91.97815477,0.004810663
59.63285147,0.005378003,59.17295847,0.005197581,59.08219012,0.005323004,47.99777218,0.002156697,86.04039155,0.007425618,92.90853041,0.004993684
59.88095164,0.004730228,59.89910531,0.005179269,59.96317709,0.005061022,48.06896305,0.002923339,87.12393878,0.007198379,93.21109159,0.006637793
60.46532696,0.006419988,59.98987367,0.00617807,60.28811255,0.014379511,48.93126242,0.001930833,88.02027629,0.007208871,93.75570172,0.006429868
60.57079114,0.007957447,60.39833126,0.007127561,60.29518541,0.004518464,49.19751626,0.00282624,88.95931075,0.006893708,93.8010859,0.007143298
60.6454229,0.00500301,60.59499603,0.008346336,60.35294709,0.016283589,49.91458626,0.00180593,89.85871368,0.006746016,93.91908476,0.00499042
60.77653274,0.010318759,60.62525215,0.009682268,60.35294709,0.015360327,50.16873766,0.00285173,90.79816615,0.006954449,94.850595,0.004683015
60.86264631,0.00930457,60.76140468,0.010836345,60.38925443,0.018986227,50.98678746,0.002032229,91.87225835,0.007903065,95.45004434,0.004005887
60.98184212,0.011190062,60.89755722,0.011843539,60.38925443,0.018062966,51.38957203,0.002684364,92.53681238,0.008054569,96.22460097,0.003618117
60.98832557,0.012497017,60.94294139,0.014151693,60.40481472,0.013372317,51.72995336,0.002778788,92.90247918,0.007009005,96.84182579,0.004293077
61.04883781,0.006541779,60.94294139,0.013228432,60.41648494,0.020362727,51.92661813,0.001973266,93.90379746,0.006570125,97.91159569,0.004325551
61.07909393,0.014330051,60.94294139,0.012494019,60.44371544,0.017159288,52.90994198,0.001963113,94.70574383,0.006782387,98.430272,0.003953849
61.10935005,0.01336832,60.95806945,0.015242821,60.48497379,0.006208591,53.45455211,0.003034402,95.6294199,0.007515001,98.8387296,0.00460471
