weird_dates,height,depth,date
736458.6257,3.472763908,0,'08-May-2016 15:00:59.999'
736458.6465,3.462519794,0,'08-May-2016 15:31:00.000'
736458.6674,3.472763908,0,'08-May-2016 16:00:59.999'
736458.6882,3.472763908,0,'08-May-2016 16:30:59.999'
736458.709,3.488130184,0,'08-May-2016 17:01:00.000'
736458.7299,3.523984585,0,'08-May-2016 17:30:59.999'
736458.7521,3.508618413,0,'08-May-2016 18:02:59.999'
736458.7715,3.51374047,0,'08-May-2016 18:31:00.000'
736458.7924,3.51374047,0,'08-May-2016 19:00:59.999'
736458.8146,3.503496356,0,'08-May-2016 19:32:59.999'
736458.834,3.503496356,0,'08-May-2016 20:01:00.000'
736458.8549,3.503496356,0,'08-May-2016 20:30:59.999'
736458.8757,3.498374299,0,'08-May-2016 21:00:59.999'
736458.9174,3.498374299,0,'08-May-2016 22:00:59.999'
736458.959,3.493252242,0,'08-May-2016 23:01:00.000'
736459.0007,3.488130184,0,'09-May-2016 00:00:59.999'
736459.0424,3.493252242,0,'09-May-2016 01:00:59.999'
736459.084,3.493252242,0,'09-May-2016 02:01:00.000'
736459.1257,3.508618413,0,'09-May-2016 03:00:59.999'
736459.1674,3.503496356,0,'09-May-2016 04:00:59.999'
736459.209,3.503496356,0,'09-May-2016 05:01:00.000'
736459.2507,3.503496356,0,'09-May-2016 06:00:59.999'
736459.2924,3.503496356,0,'09-May-2016 07:00:59.999'
736459.334,3.498374299,0,'09-May-2016 08:01:00.000'
736459.3549,3.498374299,0,'09-May-2016 08:30:59.999'
736459.3757,3.498374299,0,'09-May-2016 09:00:59.999'
736459.3965,3.498374299,0,'09-May-2016 09:31:00.000'
736459.4056,3.498374299,0,'09-May-2016 09:44:00.000'
736459.4382,3.498374299,0,'09-May-2016 10:30:59.999'
736459.459,3.498374299,0,'09-May-2016 11:01:00.000'
736459.4799,3.498374299,0,'09-May-2016 11:30:59.999'
736459.5007,3.503496356,0,'09-May-2016 12:00:59.999'
736459.5215,3.498374299,0,'09-May-2016 12:31:00.000'
736459.5424,3.493252242,0,'09-May-2016 13:00:59.999'
736459.5632,3.493252242,0,'09-May-2016 13:30:59.999'
736459.584,3.493252242,0,'09-May-2016 14:01:00.000'
736459.6049,3.493252242,0,'09-May-2016 14:30:59.999'
736459.6257,3.498374299,0,'09-May-2016 15:00:59.999'
736459.6479,3.497634964,0,'09-May-2016 15:33:00.000'
736459.6674,3.506320474,0,'09-May-2016 16:00:59.999'
736459.6882,3.515006089,0,'09-May-2016 16:30:59.999'
736459.709,3.524777314,0,'09-May-2016 17:01:00.000'
736459.7299,3.50748371,0,'09-May-2016 17:30:59.999'
736459.7507,3.509413345,0,'09-May-2016 18:00:59.999'
736459.7715,3.511342981,0,'09-May-2016 18:31:00.000'
736459.7924,3.519061313,0,'09-May-2016 19:00:59.999'
736459.8132,3.526779645,0,'09-May-2016 19:30:59.999'
736459.8354,3.528709281,0,'09-May-2016 20:03:00.000'
736459.8549,3.531603682,0,'09-May-2016 20:30:59.999'
736459.8757,3.534497978,0,'09-May-2016 21:00:59.999'
736459.9174,3.537510915,0,'09-May-2016 22:00:59.999'
736459.959,3.540818832,0,'09-May-2016 23:01:00.000'
736460.0007,3.54247279,0,'10-May-2016 00:00:59.999'
736460.0424,3.544953675,0,'10-May-2016 01:00:59.999'
736460.084,3.54743456,0,'10-May-2016 02:01:00.000'
736460.1271,3.54743456,0,'10-May-2016 03:02:59.999'
736460.1674,3.54743456,0,'10-May-2016 04:00:59.999'
736460.209,3.54743456,0,'10-May-2016 05:01:00.000'
736460.2507,3.549594976,0,'10-May-2016 06:00:59.999'
736460.2924,3.549594976,0,'10-May-2016 07:00:59.999'
736460.334,3.554717033,0,'10-May-2016 08:01:00.000'
736460.3549,3.554717033,0,'10-May-2016 08:30:59.999'
736460.3757,3.554717033,0,'10-May-2016 09:00:59.999'
736460.3965,3.549594976,0,'10-May-2016 09:31:00.000'
736460.4174,3.549594976,0,'10-May-2016 10:00:59.999'
736460.4382,3.549594976,0,'10-May-2016 10:30:59.999'
736460.459,3.549594976,0,'10-May-2016 11:01:00.000'
736460.4799,3.549594976,0,'10-May-2016 11:30:59.999'
736460.5007,3.549594976,0,'10-May-2016 12:00:59.999'
736460.5215,3.554717033,0,'10-May-2016 12:31:00.000'
736460.5424,3.554717033,0,'10-May-2016 13:00:59.999'
736460.5632,3.554717033,0,'10-May-2016 13:30:59.999'
736460.584,3.55983909,0,'10-May-2016 14:01:00.000'
736460.6049,3.554717033,0,'10-May-2016 14:30:59.999'
736460.6257,3.554717033,0,'10-May-2016 15:00:59.999'
736460.6465,3.55983909,0,'10-May-2016 15:31:00.000'
736460.6674,3.55983909,0,'10-May-2016 16:00:59.999'
736460.6882,3.55983909,0,'10-May-2016 16:30:59.999'
736460.709,3.55983909,0,'10-May-2016 17:01:00.000'
736460.7299,3.55983909,0,'10-May-2016 17:30:59.999'
736460.7507,3.554717033,0,'10-May-2016 18:00:59.999'
736460.7715,3.55983909,0,'10-May-2016 18:31:00.000'
736460.7924,3.55983909,0,'10-May-2016 19:00:59.999'
736460.8132,3.55983909,0,'10-May-2016 19:30:59.999'
736460.834,3.55983909,0,'10-May-2016 20:01:00.000'
736460.8549,3.55983909,0,'10-May-2016 20:30:59.999'
736460.8757,3.55983909,0,'10-May-2016 21:00:59.999'
736460.9174,3.55983909,0,'10-May-2016 22:00:59.999'
736460.959,3.55983909,0,'10-May-2016 23:01:00.000'
736461.0007,3.55983909,0,'11-May-2016 00:00:59.999'
736461.0424,3.55983909,0,'11-May-2016 01:00:59.999'
736461.084,3.564961252,0,'11-May-2016 02:01:00.000'
736461.1257,3.55983909,0,'11-May-2016 03:00:59.999'
736461.1674,3.55983909,0,'11-May-2016 04:00:59.999'
736461.209,3.564961252,0,'11-May-2016 05:01:00.000'
736461.2507,3.55983909,0,'11-May-2016 06:00:59.999'
736461.2924,3.55983909,0,'11-May-2016 07:00:59.999'
736461.334,3.55983909,0,'11-May-2016 08:01:00.000'
736461.3549,3.564961252,0,'11-May-2016 08:30:59.999'
736461.3757,3.55983909,0,'11-May-2016 09:00:59.999'
736461.3965,3.564961252,0,'11-May-2016 09:31:00.000'
736461.4174,3.564961252,0,'11-May-2016 10:00:59.999'
736461.4382,3.570083309,0,'11-May-2016 10:30:59.999'
736461.459,3.570083309,0,'11-May-2016 11:01:00.000'
736461.4799,3.575205367,0,'11-May-2016 11:30:59.999'
736461.5007,3.570083309,0,'11-May-2016 12:00:59.999'
736461.5215,3.570083309,0,'11-May-2016 12:31:00.000'
736461.5424,3.564961252,0,'11-May-2016 13:00:59.999'
736461.5632,3.570083309,0,'11-May-2016 13:30:59.999'
736461.584,3.564961147,0,'11-May-2016 14:01:00.000'
736461.6049,3.564961147,0,'11-May-2016 14:30:59.999'
736461.6257,3.554717033,0,'11-May-2016 15:00:59.999'
736461.6465,3.55983909,0,'11-May-2016 15:31:00.000'
736461.6674,3.554717033,0,'11-May-2016 16:00:59.999'
736461.6882,3.549594976,0,'11-May-2016 16:30:59.999'
